Title,Location,Company,Posting,Salary,Salary_Low,Salary_High,Unit,Currency
Sales Marketing Japanese - Property Industry,Jakarta Pusat,PT Trust Recruit Indonesia,30+ hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,8000000.0,10000000.0,month,IDR
Sales Executive - Car Accessories,Jakarta Pusat,PT Trust Recruit Indonesia,26 hari yang lalu,Rp 3.500.000 – Rp 5.000.000 per month,3500000.0,5000000.0,month,IDR
IT Enterprise Planning Model Builder (Anaplan),Jakarta Pusat,,19 hari yang lalu,,,,,
Data Analyst,Jakarta Raya,PT Dipo Star Finance,25 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month,5500000.0,8000000.0,month,IDR
IT Staff,Jakarta Raya,PT. OSA Industries Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,8000000.0,10000000.0,month,IDR
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,,,,,
Project Sales Manager,Jakarta Barat,,21 hari yang lalu,,,,,
Merchandiser (Mandarin Speaker),Jakarta Barat,PT MISSSHINE TRENDS INDONESIA,27 hari yang lalu,Rp 9.500.000 – Rp 14.000.000 per month,9500000.0,14000000.0,month,IDR
Senior Secretary President Director,Jakarta Raya,,22 hari yang lalu,,,,,
Sales Heavy Equipment / Truck,Jakarta Utara,PT SINOPACIFIC PERALATAN INDONUSA,20 hari yang lalu,,,,,
"Japanese-speaking IT Consultant (SAP) – No Experience OK, Remote Work Available",Jakarta Raya,"Iter Consulting Co., Ltd",22 hari yang lalu,Rp 20.000.000 – Rp 30.000.000 per month,20000000.0,30000000.0,month,IDR
Senior Cyber Security,Jakarta Barat,PT Nusantara Compnet Integrator,28 hari yang lalu,,,,,
Marketing,Jakarta Utara,PT Bali Artha Seduh,25 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month,6000000.0,8500000.0,month,IDR
Partner Sales Manager (CAD/BIM solutions),Jakarta Raya,GRAPHISOFT Asia Limited,11 hari yang lalu,,,,,
Sales Trainer,Jakarta Raya,PT Foom Lab Global,12 hari yang lalu,,,,,
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,,,,,
Mandarin Translator (Jakarta),Jakarta Barat,PT Teknologi Internasional Nusantara,8 hari yang lalu,,,,,
Project Estimator,Jakarta Barat,XY Illumination PT Cahaya Lux Asia Bali,15 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,7000000.0,9000000.0,month,IDR
Account Executive,Jakarta Utara,PT PANCA UTAMA ASIA,21 hari yang lalu,,,,,
Business Solutions Architect,Jakarta Raya,PT Kamoro Maxima Integra,9 hari yang lalu,,,,,
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,,,,,
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,,,,,
Branch Manager (Development Program),Jakarta Utara,PT Wook Global Technology,19 hari yang lalu,,,,,
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,,,,,
Marketing Officer (Jabodetabek),Jakarta Raya,PT Dipo Star Finance,20 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,5500000.0,7000000.0,month,IDR
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,,,,,
Commercial Technology Specialist,Jakarta Raya,Web Travel Group (WebBeds) - Indonesia,5 hari yang lalu,Rp 9.000.000 – Rp 10.500.000 per month,9000000.0,10500000.0,month,IDR
