Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
General Services (Pekanbaru),(Kesehatan & Medis),"PT SMART,Tbk",Pekanbaru,1 hari yang lalu,,"Responsible for maintaining company facilities and equipment, monitoring used goods, handling administrative tasks related to vehicles and utilities.",,,,
Customer Relation (Estate),(Administrasi & Dukungan Perkantoran),PT CFLD Tangerang New Industry City Development,Karawang,1 hari yang lalu,,Karawang New Industry City (KNIC) is hiring for the role of Customer Relation (Estate) Supervisor!Responsibilities:1. Perform follow up payment and...,,,,
Administration Assistant Section Manager - Manufacture - Cilegon (C-122411),(Administrasi & Dukungan Perkantoran),RGF HR Agent Indonesia,Banten,1 hari yang lalu,Rp 15.000.000 – Rp 19.000.000 per month,Administration Assistant Section Manager for Japanese Manufacturing company in Cilegon.,15000000.0,19000000.0,month,IDR
Staff Purchasing,"(Manufaktur, Transportasi & Logistik)","PT Steel Pipe Industry of Indonesia, Tbk",Karawang,3 hari yang lalu,,"Responsible for sourcing, negotiating, and purchasing materials to ensure cost efficiency and timely supply for company operations",,,,
Air Pricing - Freight Forwarding,"(Manufaktur, Transportasi & Logistik)",PT Dexter Eurekatama (Dexter Cargo),Jakarta Pusat,1 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,We're hiring for Air Pricing for Freight Forwarding company. Let's join and grow with us!,6000000.0,9000000.0,month,IDR
Development Officer (Marketing & Partnership : Corporate Membership & Patronage),(Penjualan),Museum MACAN (Modern and Contemporary Art in Nusantara),Jakarta Barat,1 hari yang lalu,,Development Officer (Marketing & Partnership : Corporate Membership & Patronage),,,,
Supply Chain Management Assistant Manager,"(Manufaktur, Transportasi & Logistik)",PT Autoliv Indonesia,Bekasi,1 hari yang lalu,,Supply Chain Management Assistant Manager,,,,
Service Supervisor (Project Site),"(Pertambangan, Sumber Daya Alam & Energi)",PT LIUGONG MACHINERY INDONESIA,Sulawesi Utara,5 jam yang lalu,,This role is responsible for overseeing and coordinating the daily operations of maintenance and repair services for all equipment on site,,,,
Digital Marketing Assistant,(Pemasaran & Komunikasi),PT Home Doki Teknologi,Tangerang,1 hari yang lalu,Rp 5.000.000 – Rp 5.500.000 per month,Assist Digital marketing Specialist in Developing and executing influencer marketing strategies and creative campaigns,5000000.0,5500000.0,month,IDR
Assistant Store Supervisor Jabodetabek,(Ritel & Produk Konsumen),Kurnia Ciptamoda Gemilang,Jakarta Barat,1 hari yang lalu,,Responsible on the day to day operation of store Provide customer service by greeting and assisting customers &amp; responding to customer...,,,,
Service Engineer - CNC,(Teknik),PT Trust Recruit Indonesia,Bekasi,6 jam yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,Service Engineer for a leading Japanese Machinery manufacturing company,7000000.0,9000000.0,month,IDR
Sales Supervisor Depo Metro,(Ritel & Produk Konsumen),PT Korea Tomorrow & Global  Indonesia,Metro,1 hari yang lalu,,As the head of the Depo who has the duties and responsibilities of marketing and sales operational activities in the Depo coverage area.,,,,
"IMPORT, PURCHASING & AE0 ASSISTANT MANAGER","(Manufaktur, Transportasi & Logistik)",,Jakarta Raya,1 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"Our company was established since 50 years ago, with 750 employees and our business is in manufacturing, selling, marketing",8000000.0,10000000.0,month,IDR
Life Planner/ Relationship Manager (Jakarta),(Perbankan & Layanan Finansial),AXA Mandiri Life Planner,Jakarta Raya,3 hari yang lalu,,"To achieve minimum performance standards in Activities (calls, appointments, meetings) To adopt and use the appropriate sales portals and tools to...",,,,
Maintenance Sales,(Teknik),PT Daikin Airconditioning Indonesia,Jakarta Selatan,7 jam yang lalu,Rp 10.200.000 – Rp 10.400.000 per month,We build relationships based on trust and openness. We work together in a respectful way to reach our goals.,10200000.0,10400000.0,month,IDR
BRANCH MANAGER MANUFACTURE,"(Manufaktur, Transportasi & Logistik)",CV Melimpah Anugerah Sentosa Abadi,Surabaya,1 hari yang lalu,,Lead a talented team to drive production excellence in our state-of-the-art Surabaya facility. Competitive salary and benefits.,,,,
CHIEF SECURITY - MOROWALI (SULAWESI TENGAH),(Keterampilan & Jasa),"PT AKR Corporindo, Tbk",Morowali,1 hari yang lalu,,"Responsible for all security, safe working environment, and fraud prevention in warehouse, tank terminal, land transportation site.",,,,
Corporate Employee Solution,(Penjualan),"PT Bank Permata, Tbk",Semarang,2 jam yang lalu,,Acquiring PermataBank's customer base in bulk or massively through the Payroll product to sustainably increase CASA balance,,,,
QC Officer (Cikereteg),"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Bogor,1 hari yang lalu,,Responsible for performing quality evaluations on standard and routine processes and products,,,,
Nanny - Hong Kong Placement (Mandarin Speaker),(Keterampilan & Jasa),,Jakarta Pusat,6 jam yang lalu,Rp 10.500.000 – Rp 11.500.000 per month,"Work in Hong Kong! Live-in Helper needed, care for kids/elderly, fluent Mandarin. Earn HK$4,990–5,500 + weekly day off",10500000.0,11500000.0,month,IDR
PMC Admin Staff,(Administrasi & Dukungan Perkantoran),PT Makuku Care Indonesia ..,Demak,1 hari yang lalu,,Join Us!,,,,
Livestream and Video Executive,(Ritel & Produk Konsumen),PT Kao Indonesia,Jakarta Selatan,1 hari yang lalu,,Conduct video shooting and editing mainly for Livestreaming & video content.,,,,
Sales Executive - Building Material,(Penjualan),PT Trust Recruit Indonesia,Jakarta Selatan,6 jam yang lalu,Rp 8.000.000 – Rp 11.000.000 per month,Sales Executive for a leading Japanese Building Material company,8000000.0,11000000.0,month,IDR
Senior Sales Engineer (Material Handling Equipment),(Teknik),PT Jebsen & Jessen Technology Indonesia,Jakarta Selatan,1 hari yang lalu,,"Senior Sales Engineer drives sales, margin, and collections, securing best terms per company policy for assigned products and area.",,,,
Sales & Marketing (Supervisor -Assistant Manager) - Automotive (B-122777),(Penjualan),RGF HR Agent Indonesia,Jakarta Pusat,4 jam yang lalu,Rp 10.000.000 – Rp 15.000.000 per month,Sales & Marketing (Supervisor -Assistant Manager) for an Automotive company in Central Jakarta,10000000.0,15000000.0,month,IDR
Legal Staff - Financial Services (C-122578),(Hukum),RGF HR Agent Indonesia,Jakarta Raya,1 hari yang lalu,Rp 5.000.000 – Rp 6.700.000 per month,Legal Staff for Japanese Financial Services company in South Jakarta.,5000000.0,6700000.0,month,IDR
Area Recovery Manager Makassar,"(Manufaktur, Transportasi & Logistik)",PT Bussan Auto Finance (BAF),Makassar,1 hari yang lalu,,Job Description: Achieve target Collection (Car Product) Managing Area Recovery (National) Leading and supervise Collection team to achieve monthly...,,,,
QMS Supervisor,"(Manufaktur, Transportasi & Logistik)",PT Maxxis International Indonesia,Cikarang,1 hari yang lalu,,Experienced Quality System dan Document Control with excellent knowledge in Automotive industry.,,,,
Talent Acquisition Officer (Contract),(Sumber Daya Manusia & Perekrutan),PT Chandra Asri Pacific Tbk,Jakarta Barat,1 hari yang lalu,,This position will handle end to end recruitment process to support company's growth,,,,
"Manager, HR (Tobacco Manufacturing / Packaging - Batam Placement)",(Sumber Daya Manusia & Perekrutan),YSQ International Pte Ltd,Batam,21 hari yang lalu,,"Manage payroll, BPJS, tax, HR reports, budgeting, expat admin, and general HR support to ensure accurate, compliant, and timely processes.",,,,
KOL Acquisition Intern,(Pemasaran & Komunikasi),PT Finture Tech Indonesia,Jakarta Selatan,8 hari yang lalu,,"Research and engage potential Key Opinion Leaders (KOLs) across various platforms, assessing their audience relevance and brand alignment.",,,,
English Teacher,(Pendidikan & Pelatihan),Central international education (Bangka belitung),Pangkal Pinang,4 hari yang lalu,Rp 3.800.000 – Rp 5.000.000 per month,Bergabunglah dengan tim kami yang kolaboratif di Bangka Belitung. Nikmati pengembangan profesional komprehensif dan gaji kompetitif!,3800000.0,5000000.0,month,IDR
Business Development,(Penjualan),Odoo,Tangerang,5 hari yang lalu,,"Odoo - we are proud of our Product, Culture, and more importantly, our Employees. Check out our social media to find out what's working in Odoo like.",,,,
Digital Marketing Manager,(Pemasaran & Komunikasi),PT Eka Bogainti,Ciracas,3 jam yang lalu,,Grow your digital skills and lead our brand's online success as Digital Marketing Manager at PT Eka Bogainti'.,,,,
Agent Contact Center (English Role),(Call Center & Layanan Konsumen),PT Transcosmos Indonesia,Jakarta Selatan,7 hari yang lalu,Rp 5.400.000 – Rp 6.500.000 per month,Agent Contact Center (English Role),5400000.0,6500000.0,month,IDR
RESERVATION LEISURE CONSULTANT (reservation & quotation) - Bali office,(Hospitaliti & Pariwisata),PT Destination Asia,Bali,6 hari yang lalu,,"Corresponding with clients, preparing proposals, quotations, reservation and system booking for Inbound Indonesia Travel Agent",,,,
Sales Representative Heavy Equipment (Placement Across Indonesia),(Penjualan),Sunrecruit Indonesia,Jakarta Raya,6 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,"Sales Rep for heavy equipment across Indonesia. Drive sales, build client relations, achieve targets. Engineering/marketing bg is a plus.",6000000.0,9000000.0,month,IDR
Order Fulfilment Management Role,"(Manufaktur, Transportasi & Logistik)",,Cikarang Selatan,8 hari yang lalu,,Hiring for the order management role with strong experience in planning and leadership.,,,,
Sea Freight Commercial Pricing Executive,"(Manufaktur, Transportasi & Logistik)",PT Air Two Sea Logistics Indonesia,Jakarta Utara,4 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"Manage sea freight pricing, quotations, and carrier negotiations. Ensure operational efficiency, cost optimization, and high client satisfaction.",8000000.0,10000000.0,month,IDR
Customs Clearance Team Leader & Regulatory,"(Manufaktur, Transportasi & Logistik)",,Jakarta Selatan,14 hari yang lalu,,"Responsible for leading the customs clearance team to ensure accurate, and timely processing of exim documentation in compliance with regulations.",,,,
Industrial & Employee Relation Section Head,(Sumber Daya Manusia & Perekrutan),PT Eka Bogainti,Ciracas,3 jam yang lalu,,"Employee & Industrial Relation 
Developing and implementing strategies to maintain positive employee and industrial relations",,,,
Merchandiser - Garment Industry,(Ritel & Produk Konsumen),PT Cut Make Trim,Denpasar,7 hari yang lalu,Rp 4.000.000 – Rp 6.000.000 per month,"- Grow Up Career Path
- Officer Hour Working Schedule",4000000.0,6000000.0,month,IDR
Sales Representative,(Penjualan),PT Futurity Marketing International,Denpasar,9 hari yang lalu,Rp 4.000.000 – Rp 5.000.000 per month,"candidate will be passionate about building relationships, understanding customer needs, and effectively communicating the value of our offerings",4000000.0,5000000.0,month,IDR
"Japanese-speaking IT Consultant (SAP) – No Experience OK, Remote Work Available",(Teknologi Informasi & Komunikasi),"Iter Consulting Co., Ltd",Jakarta Raya,8 hari yang lalu,Rp 20.000.000 – Rp 30.000.000 per month,No IT experience needed! Support Japanese clients in ERP (SAP) projects — full training provided for Japanese-speaking candidates.,20000000.0,30000000.0,month,IDR
Customer Service Agent (REMOTE),(Call Center & Layanan Konsumen),Deliveree (PT Angkut Teknologi Indonesia),Surakarta,3 hari yang lalu,Rp 4.000.000 per month,"If you just click apply, you will not receive a response. You must follow the instructions below under 'how to apply' for our team to review.",4000000.0,4000000.0,month,IDR
Digital Experience Channel Management Jr. Specialist,(Teknologi Informasi & Komunikasi),PT Bussan Auto Finance (BAF),Jakarta Selatan,4 hari yang lalu,,preparing and managing Business Requirement Documents (BRD),,,,
Travel Consultant Jayapura,(Hospitaliti & Pariwisata),PT. Dwidaya World Wide,Jayapura,8 hari yang lalu,,"Melakukan seluruh proses penjualan product tour & travel, hotel, ticket pesawat, dokumen perjalanan, akomodasi perjalanan.",,,,
Sales & Marketing Supervisor,(Pemasaran & Komunikasi),PT. CIL LOGISTICS INDONESIA,Semarang,4 hari yang lalu,,"Lead sales & marketing in freight forwarding, drive B2B growth, achieve targets",,,,
