Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Patient Relations (Medical Doctor),(Kesehatan & Medis),PT BINARA GUNA MEDIKTAMA (RS. PONDOK INDAH GROUP),Tangerang Selatan,18 hari yang lalu,,"handle patient and customer feedback, with a focus on health-related matters and service quality improvement",,,,
Part Time Teacher,(Pendidikan & Pelatihan),PT Peningkatan Cerdas Bangsa,Tangerang Selatan,7 hari yang lalu,,We are looking for candidates who are competent in their field.,,,,
Regional Sales Manager - FMCG,(Penjualan),PT Trust Recruit Indonesia,Medan Kota,11 hari yang lalu,Rp 18.000.000 – Rp 22.000.000 per month,"We're looking for a regional sales manager in Medan area, willing to be placed in all over Sumatera region who can speak HOKKIEN",18000000.0,22000000.0,month,IDR
GA Manager - Machinery - Central Java (C-122339),(Sumber Daya Manusia & Perekrutan),RGF HR Agent Indonesia,Jawa Tengah,13 hari yang lalu,Rp 12.000.000 – Rp 15.000.000 per month,GA Manager for Japanese Machinery company in Central Java,12000000.0,15000000.0,month,IDR
"Customer Operations, Operations, SeaBank (Yogyakarta, Contract Based)",(Call Center & Layanan Konsumen),PT Bank Seabank Indonesia,DI Yogyakarta,7 hari yang lalu,,"Manage customer requests, explain information and resolve any issues, to provide alternative solutions and manage the documentation",,,,
International Business Executive,(Penjualan),"PT SMART,Tbk",Jakarta Raya,15 hari yang lalu,,Job description: Responsible for the sales of Olein/Marsho to South Asia. Complete understanding of pricing and quotes process. Maximizes all...,,,,
Main Teacher Preschool,(Pendidikan & Pelatihan),PT Playfield Pratama Jakarta,Serpong,12 hari yang lalu,,Have an experience as Preschool Teacher / Assistant teacher,,,,
Content Moderator,"(Periklanan, Seni & Media)",GearInc Indonesia,Denpasar Barat,27 hari yang lalu,Rp 3.000.000 – Rp 3.500.000 per month,"A content moderator reviews user content to ensure it meets platform guidelines and maintains a safe, respectful environment.",3000000.0,3500000.0,month,IDR
Project Manager,(Desain & Arsitektur),PT Avip Interiors,Jakarta Barat,6 hari yang lalu,,"Planning, organizing, and directing the completion of specific projects while ensuring these projects are on time, on budget, and within scope.",,,,
IT System Analyst (Banking),(Teknologi Informasi & Komunikasi),PT Lawencon Internasional,Jakarta Selatan,7 hari yang lalu,,"Collecting, analyze requirements and confirm the functional requirements of the system to be developed",,,,
Live Host,(Ritel & Produk Konsumen),PT. Inlove investment management,Jakarta Selatan,12 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,Captivate audiences and promote innovative retail solutions as a Live Host at PT. Inlove investment management.,5000000.0,7000000.0,month,IDR
HRGA Compliance Manager - Construction (C-121975),(Sumber Daya Manusia & Perekrutan),RGF HR Agent Indonesia,Jakarta Raya,22 hari yang lalu,Rp 20.000.000 – Rp 25.000.000 per month,HRGA Compliance Manager for Japanese Construction company in South Jakarta,20000000.0,25000000.0,month,IDR
Apprenticeship - Cost Control,(Akuntansi),PT Prudential Life Assurance,Jakarta Raya,13 hari yang lalu,,"Cost Control, Accounting, Finance, Business, Management",,,,
Finance and Accounting Staff,(Akuntansi),PT Global Digital Niaga,Karawang,13 hari yang lalu,,Account Receivable and Account Payable,,,,
Import Supervisor,"(Manufaktur, Transportasi & Logistik)",PT ADR Agro,Jakarta Utara,18 hari yang lalu,,"oversees the entire import process, ensuring goods are brought into a country legally and efficiently.",,,,
Regional Category Development Manager,(Penjualan),PT Nestle Indonesia,Semarang,30+ hari yang lalu,,"As a Regional Category Development Manager (RCDM) commercial development executive in the category, you will need to define strategies and plans...",,,,
Turbine Operation Engineer,"(Pertambangan, Sumber Daya Alam & Energi)",GCL INDO TENAGA,Kabupaten Bengkayang,22 hari yang lalu,,As Turbine Operation Engineer in Kalbar-1 CFSPP who conduct supervising operational of Kalbar-1 CFSPP,,,,
Project Supervisor (Build),(Konstruksi),MAISON DEKOR INDO,Jakarta Barat,22 hari yang lalu,,Project Supervisor (Construction),,,,
Immigration Consultant (Location:Jakarta),(Hukum),PT Dmg Investment Services,Jakarta Selatan,20 hari yang lalu,Rp 6.000.000 – Rp 7.500.000 per month,"If you are passionate about maintaining high standards and ensuring client satisfaction, this is the role for you!",6000000.0,7500000.0,month,IDR
Supplier Quality Assurance (SQA) Coordinator,"(Manufaktur, Transportasi & Logistik)",PT Valeo AC Indonesia,Batam,6 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,Seeking Mandarin & English pro with 2–3 yrs in auto industry & quality tools. Ensure part conformity. Disability inclusion welcomed,7000000.0,9000000.0,month,IDR
COST CONTROL ASSISTANT MANAGER,(Akuntansi),PT Communication Cable Systems Indonesia Tbk,Jakarta Barat,25 hari yang lalu,,"The work environment is full of creativity, innovation, freedom, and opportunities which make it an excellent place to grow your career",,,,
Accounting & Finance Staff,(Akuntansi),PT Hankook Tire Indonesia,Cikarang Selatan,1 hari yang lalu,,"Accounting, Financial documents, Journal transactions, Financial report",,,,
GM SALES (FROZEN MEAT),(Penjualan),PT Sembilan Sejahtera,Jakarta Utara,14 hari yang lalu,,"REQUIREMENTS : Bachelors or Masters Degree in Marketing, Business, Accounting, or Management At least 5 years of working...",,,,
Hospitality Project Manager (Jakarta & Surabaya),(Hospitaliti & Pariwisata),PT Duta Abadi Primantara,Jakarta Raya,18 hari yang lalu,,Hospitality Project Manager Surabaya & Jakarta for PT Duta Abadi Primantara,,,,
Risk Trainer Medan,(Sumber Daya Manusia & Perekrutan),PT Home Credit Indonesia,Medan,18 hari yang lalu,,"Prepare training materials and deliver training modules to Collection team, fulfill training plan and to measure training effectiveness & evaluation.",,,,
Sales Marketing,(Penjualan),PT Dwitama Prima Sakti,Mojokerto,18 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,"Exciting contract role in Jakarta, Mojokerto, Medan and Balikpapan with opportunities for growth and development.",6000000.0,9000000.0,month,IDR
Sales Associates,(Penjualan),CV Adiguna Karya Mandiri (LUMIERE),Bandung,12 hari yang lalu,Rp 4.000.000 – Rp 4.500.000 per month,"Responsibilty : Bertanggung jawab atas penjualan produk perhiasan , membina hubungan baik dengan pelanggan",4000000.0,4500000.0,month,IDR
"Polymer Supply Chain, Logistic, and Materials Production Manager","(Manufaktur, Transportasi & Logistik)",PANGEA Movement,Bali,8 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month,"Sourcing, procurement, inventory management, production planning, inbound and outbound logistics, quality assurance, and the implementation of system.",15000000.0,20000000.0,month,IDR
Assistant Banquet Manager25132901,(Hospitaliti & Pariwisata),Renaissance Hotels,Kuta Selatan,10 hari yang lalu,,Entry level management position that leads the banquet staff while personally assisting in executing events based on requirements and standards....,,,,
Area Manager,(Ritel & Produk Konsumen),PT Chateraise Gobel Indonesia,Jakarta Raya,18 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"area manager, handle end to end operational",8000000.0,10000000.0,month,IDR
"General Manager-The Westin Resort & Spa Ubud, Bali25078976",(Hospitaliti & Pariwisata),Westin Hotels & Resorts,Ubud,30+ hari yang lalu,,"Often called the Island of the Gods, Bali is an exotic and mystical place filled with culture and charm. Surrounded by lush rice terraces, The West...",,,,
Commercial - Customer Solution Executive,(Penjualan),PT New Priok Container Terminal One,Jakarta Utara,7 hari yang lalu,,"Drive business growth through market research, customer insights, and commercial analysis in the port and shipping industry.",,,,
Funding Officer Jambi Area,(Penjualan),Bank Universal BPR,Telanai Pura,30+ hari yang lalu,,"To achieve funding products sales target (i.e. savings & time deposit)
Maintain good relationship with customers
Increase market share and...",,,,
Wedding Planner Assistant,(Administrasi & Dukungan Perkantoran),Bali Love,Denpasar,11 hari yang lalu,Rp 4.000.000 – Rp 6.000.000 per month,Bali.Love is an Australian wedding company based in Bali and now looking for Wedding Planner Assistant as part of our growing company!,4000000.0,6000000.0,month,IDR
Director of Marketing & Communications - JW Marriott Ubud Resort and Spa25132231,(Pemasaran & Komunikasi),JW Marriott,Ubud,10 hari yang lalu,,"The Director of Marketing Communications is responsible for the planning, direction, control, and coordination of all communication activities,...",,,,
Villa Supervisor,(Hospitaliti & Pariwisata),PT STUDILMU TEKNOLOGI GLOBAL,Bali,22 hari yang lalu,,"Lead daily villa operations, supervise staff, ensure guest satisfaction, and maintain top service standards in a dynamic Bali hospitality setting.",,,,
Import & Logistic Officer,"(Manufaktur, Transportasi & Logistik)",PT Berkat Sumber Rizki,Jakarta Utara,6 hari yang lalu,Rp 8.000.000 – Rp 9.500.000 per month,"We're looking for an experienced Import  & Logistic Affairs professional, deep knowledge in transportation & imports matter",8000000.0,9500000.0,month,IDR
Retail Operation  Manager,(Ritel & Produk Konsumen),PT MGI GAYA HIDUP MANAJEMEN,Jakarta Pusat,6 hari yang lalu,Rp 17.000.000 – Rp 19.000.000 per month,"Deputy Ops Manager, Retail, Indonesia Market Expansion",17000000.0,19000000.0,month,IDR
Marketing Officer (Jabodetabek),(Perbankan & Layanan Finansial),PT Dipo Star Finance,Jakarta Raya,5 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,Acquire new customer and maintain good relationship with customer,5500000.0,7000000.0,month,IDR
Field Operator,"(Pertambangan, Sumber Daya Alam & Energi)",PT. Cirebon Power Services,Cirebon,1 hari yang lalu,,"Job Description: Operation of main plant equipment to support production process, (Turbine, Boiler, Generator, Pumps, Compressor, etc), to support...",,,,
Business Development Manager,(Penjualan),PT LX International Indonesia,Jakarta Selatan,6 hari yang lalu,,"WFO 100%, SCBD, South Jakarta area",,,,
FLOOR CAPTAIN - LIFESTYLE (SEMARANG),(Hospitaliti & Pariwisata),Ismaya Group,Semarang,30+ hari yang lalu,,"• Willing to be placed in Semarang area
• Proven work experience as a Waiter or Waitress
• Hands-on experience with cash register and ordering...",,,,
Supervisor Marketing (Bus and Truck) - Leasing (B-122594),(Penjualan),RGF HR Agent Indonesia,Jakarta Selatan,6 hari yang lalu,Rp 11.000.000 – Rp 15.000.000 per month,Supervisor Marketing (Bus and Truck) for a Leasing company in South Jakarta,11000000.0,15000000.0,month,IDR
Social Media Management (Flimgroup/Flimty),(Pemasaran & Komunikasi),PT Anugrah Inovasi Makmur Indonesia,Jakarta Barat,21 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month,"Developing and executing content plans, conceptualizing engaging IG feed and analyzing content performance t optimize strategies for Flimbeauty Brand.",5000000.0,6000000.0,month,IDR
Business Development Intern,(Penjualan),PT Emos Global Digital,Jakarta Timur,29 hari yang lalu,,Kickstart your career as Business Development Intern and gain hands-on experience in driving growth strategies!,,,,
Cook24194893,(Hospitaliti & Pariwisata),Four Points by Sheraton Bintan Lagoi Bay,Bintan,30+ hari yang lalu,,"Where timeless classics are woven with modern details. Where business meets pleasure. Where even when travelers are global, they can experience the...",,,,
Security Team Leader,(Keterampilan & Jasa),Grand Hyatt,Bali,30+ hari yang lalu,,"What is your passion? Whether you are into tennis, shopping, craft or karaoke, at Hyatt we are interested in YOU. At Hyatt, we employ people who...",,,,
Global Payroll SME,(Teknologi Informasi & Komunikasi),PT TMF Indonesia,Jakarta Raya,30+ hari yang lalu,,"TMF provides a range of services for Corporates to assist them in a) running a local business, b) preparing to enter a new market, or c) operating...",,,,
Java Quarkus Developer,(Teknologi Informasi & Komunikasi),PT Indocyber Global Teknologi,Jakarta Raya,22 hari yang lalu,,"Has 4 years of experience as Backend Developer
Has hands on experience with Quarkus framework
Has experience in Scrum or Agile...",,,,
Position,(Pemasaran & Komunikasi),"PT Summarecon Agung, Tbk",Indonesia,30+ hari yang lalu,,"Minimum 3 years of experience as a Marketing Communication professional Possesses leadership qualities and the ability to manage, control, and...",,,,
Admin Sales Analyst,(Administrasi & Dukungan Perkantoran),PT Susanti Megah,Surabaya,7 hari yang lalu,,PT Susanti Megah is looking for a detail-oriented and organized Admin Sales Analyst to join our team temporarily as a maternity leave replacement.,,,,
Senior Secretary President Director,(Administrasi & Dukungan Perkantoran),,Jakarta Raya,7 hari yang lalu,,One of the largest coal mining companies in Indonesia,,,,
Loss Prevention Agent,(Keterampilan & Jasa),Inti Dufree Promosindo (IDP),Kuta,21 hari yang lalu,"Rp 4,064,500 – Rp 4,700,000 per month","Securing company assets. Preventing and detecting incidents/theft, both internal and external.",4064500.0,4700000.0,month,IDR
Business Manager (Kalimantan),(Ritel & Produk Konsumen),PT Kino Indonesia Tbk,Kalimantan Tengah,26 hari yang lalu,,"Responsible for driving commercial performance, managing operations, and overseeing strategic initiatives across product categories and sales channels",,,,
Business Development Assistant Manager,(Penjualan),Cikal,Yogyakarta,30+ hari yang lalu,,This position will be working along with Business Development Manager to identify and resolve the problems arise in running new business. He/She...,,,,
Mgr-IT,(Teknologi Informasi & Komunikasi),Four Points,Bintan,30+ hari yang lalu,,"• Maintains inventories and manages IT hardware/software.
• Provides Internet support and maintenance (if applicable)
• Provides cable management s...",,,,
Supporting Staff International Business,(Pemasaran & Komunikasi),PT Yupi Indo Jelly Gum,Gunung Putri,13 hari yang lalu,,-,,,,
Digital Performance Jr Specialist,(Pemasaran & Komunikasi),PT Bussan Auto Finance (BAF),Jakarta Selatan,22 hari yang lalu,,Digital Performance,,,,
Branch Manager English Academy - Cikarang - Cifest,(Penjualan),Ruangguru.com,Cikarang,30+ hari yang lalu,,Leadership experience in Sales & Marketing/Business Development/Business Operations (experience in an English course/educational/start-up...,,,,
Business Manager (Kalimantan),(Ritel & Produk Konsumen),PT Kino Indonesia Tbk,Kalimantan Tengah,26 hari yang lalu,,"Responsible for driving commercial performance, managing operations, and overseeing strategic initiatives across product categories and sales channels",,,,
Area Sales Manager - Balinusra,(Ritel & Produk Konsumen),PT Yadea Manufaktur Kendaraan Listrik,Denpasar,12 hari yang lalu,,"Lead sales growth across Bali & Nusa Tenggara, manage dealer networks, and travel the islands while driving strategic market success.",,,,
ASSISTANT BRAND DEVELOPMENT MANAGER – International Skincare Brand,(Pemasaran & Komunikasi),PT Jayanata,Surabaya,20 hari yang lalu,,"Provide the best service for clients (including after sales services: follow-up, etc.), including handling client complaints and also brand management",,,,
Graphic Designer (SUNTER),(Desain & Arsitektur),PT Showty Global International,Jakarta Utara,11 hari yang lalu,Rp 5.500.000 – Rp 6.500.000 per month,"Passion in product design, Trends and beauty enthusiasts.",5500000.0,6500000.0,month,IDR
Jewelry Consultant (Sales),(Ritel & Produk Konsumen),PT SINAR KREASINDO FORTUNA,Jakarta Utara,27 hari yang lalu,Rp 5.500.000 – Rp 6.000.000 per month,"Handle in-store sales, build & maintain customer relations, explain products, meet targets, and apply innovative customer approaches.",5500000.0,6000000.0,month,IDR
Store Manager - Canggu,(Ritel & Produk Konsumen),PT Chilli Beans Indonesia,Bali,18 hari yang lalu,Rp 5.000.000 – Rp 7.500.000 per month,"Seeking a results-driven leader to manage sales, motivate a team, and keep operations running smoothly in a dynamic retail setting",5000000.0,7500000.0,month,IDR
Electrical & Automation Packaging Technician,(Teknik),PT Delta Djakarta Tbk,Bekasi,5 hari yang lalu,,"1.      To do the overall trouble shooting of electrical system, equipment and machineries, including electronic controls and instrumentation based...",,,,
Business Management Lecturer,(Pendidikan & Pelatihan),,Jakarta Utara,29 hari yang lalu,Rp 6.500.000 – Rp 9.000.000 per month,"URGENTLY NEEDED! We are hiring a BUSINESS MANAGEMENT LECTURER AND INTERN now.As an educational group, we work with renowned international schools...",6500000.0,9000000.0,month,IDR
REGULATORY STAFF,(Kesehatan & Medis),PT Pandurasa Kharisma,Jakarta Raya,6 hari yang lalu,,"A detail-oriented and compliance-driven professional responsible for ensuring that the organization adheres to all applicable laws, regulations.",,,,
QA Automation Engineer,(Teknologi Informasi & Komunikasi),PT Logique Digital Indonesia,Jakarta Raya,8 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month,"We are seeking a highly skilled and motivated Senior QA Automation Engineer to join our fast-paced, dynamic team.",10000000.0,15000000.0,month,IDR
Internal Control Officer - Sulawesi Tenggara,"(Pertanian, Hewan & Konservasi)",PT Bina Artha Ventura,Sulawesi Tenggara,19 hari yang lalu,,Responsible : Ensure the implementation of Bina Artha Ventura policy and procedures (SOP) in all branches through visiting and controlling the...,,,,
Area Sales Supervisor Industrial / Food Service (Karawang),(Penjualan),"PT SMART,Tbk",Karawang,19 hari yang lalu,,The Sales is a key player in driving our company’s sales goals and ensuring the growth of our customer base.,,,,
Jakarta Sales Officer - Metland Hotel Group,(Penjualan),PT Metropolitan Land Tbk,Jakarta Selatan,29 hari yang lalu,,Requirement : Candidate must possess at least Diploma or Bachelor's Degree in any field. Good communication skill Good interpersonal skills and...,,,,
Business Development,(Penjualan),PT Yard Zeal Indonesia,Semarang,14 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,"As BD specializing in property consultancy, you will play a pivotal role in nurturing client relationships and expanding our market reach.",6000000.0,8000000.0,month,IDR
Sales Retailer Supervisor - Indramayu,(Ritel & Produk Konsumen),PT Korea Tomorrow & Global  Indonesia,Indramayu,25 hari yang lalu,,"As a Supervisor of The Retail Team in charge of Retail Channel, In order to enhance of sales productivity,",,,,
Senior Recruitment Consultant/Talent Acquisition,(Sumber Daya Manusia & Perekrutan),Geekhunter,Jakarta Selatan,6 hari yang lalu,,"You will do an end-to-end recruitment process from coordination and communication with clients, sourcing to placing candidates for our clients.",,,,
Marketing Manager - BINUS Online,(Penjualan),Yayasan Bina Nusantara,Jakarta Barat,29 hari yang lalu,,The Marketing Manager is responsible for managing marketing strategies implementation and contribution to the overall company,,,,
Operational Internal Audit,(Akuntansi),"PT SMART,Tbk",Jakarta Raya,4 hari yang lalu,,"Requirement: Candidate must possess at least a Bachelor's Degree Industrial Engineering, Agronomy, Accounting or equivalent. Having minimal 2 years...",,,,
Key Account Manager,(Penjualan),PT. ALPEN FOOD INDUSTRY,Jakarta Utara,13 hari yang lalu,,"This position is responsible to drive key account growth through strategy, negotiation, analysis, budgeting, and operational excellence.",,,,
Graphic Designer  (Jakarta Barat),(Desain & Arsitektur),PT Showty Global International,Jakarta Barat,11 hari yang lalu,,"Passion in product design, Trends and beauty enthusiasts.",,,,
Data Analyst - Driver Risk,(Sains & Teknologi),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,30+ hari yang lalu,,"You will be a part of the team overseeing the risk management for Gojek Drivers for Indonesia and Singapore, and will report directly to the Driver...",,,,
"Logistics Operations Leader, Indonesia","(Manufaktur, Transportasi & Logistik)",General Electric International Operations Co.inc,Jakarta Raya,25 hari yang lalu,,This role has full accountability for the Indonesia Integrated Supply Chain and Service Parts Fulfillment Operations covering the full equipment...,,,,
Area Sales Supervisor - CIANJUR/KENDARI/PADANG/MADIUN,(Ritel & Produk Konsumen),PT ABC KOGEN DAIRY,Jakarta Raya,5 hari yang lalu,,Responsible for achievement of sales in CIANJUR / KENDARI / PADANG / MADIUN area especially for General Trade & Modern Trade Channel,,,,
Security Staff – PIK Avenue & ASHTA,(Keterampilan & Jasa),ASRI (a subsidiary of Agung Sedayu Group),Jakarta Raya,30+ hari yang lalu,,Willing to be placed at PIK Avenue – North Jakarta or ASHTA – South Jakarta,,,,
Mall Facilities Coordinator – Discovery Mall Bali,(Real Estat & Properti),PT Bali Utama Cakrawala,Bali,27 hari yang lalu,,"Ensuring all facilities, utilities, and activities run safely, efficiently, and in accordance with company standards and regulations.",,,,
Supervisor Operasional Padel Sport,(Ritel & Produk Konsumen),Wutama Group,Denpasar Barat,8 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,"Needed Urgent Supervisor Sport Padel in Denpasar, Bali",5000000.0,7000000.0,month,IDR
HR Generalist / English Speaker,(Sumber Daya Manusia & Perekrutan),PT. ARIS KEEP GOING,Jakarta Utara,15 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,"HR generalist , have experience in related field",7000000.0,10000000.0,month,IDR
Web Developer,(Teknologi Informasi & Komunikasi),PT Intersys Optima Nusantara,Jakarta Utara,5 hari yang lalu,,"Develop web application based on required specifications, Fix bugs & implement enhancement, Provide training to clients.",,,,
Maintenance Supervisor (Jabodetabek),(Teknik),PT Jaya Digital Properti,Jakarta Selatan,4 hari yang lalu,,"In this role, you will be part of the Operations Team. As Maintenance Supervisor, you will manage a team of maintenance staff across Jabodetabek.",,,,
Personal Assistant,(Administrasi & Dukungan Perkantoran),PT Cinta Tenis Akademi,Jakarta Utara,14 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,Have skills in time management and communication? Or love solving problems and keen on paying attention to details? Then this job is for you!,8000000.0,10000000.0,month,IDR
Sales Showroom (SURABAYA),(Pemasaran & Komunikasi),Malinda Furniture Gallery (PT Andreti International),Surabaya,13 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month,"Achieve sales target set by the management, Maintain good relationships with new and existing customers",5000000.0,6500000.0,month,IDR
Branch Auditor Specialist,(Akuntansi),PT Mitsui Leasing Capital Indonesia,Jakarta Pusat,20 hari yang lalu,,Prepare and propose annual audit work priorities Perform audit activities throughout the organization Analyze and report the findings as well as...,,,,
Lowongan Kerja Basic Management Development Progrem BMDP Finance,(Penjualan),"PT SMART,Tbk",Dumai,30+ hari yang lalu,,Info Terbaru Lowongan Kerja Basic Management Development Progrem BMDP Finance Dumai Agustus 2025 di SMART Agribusiness and Food. Salam Sejahtera...,,,,
Area Sales Supervisor - Food Service (Padang),(Ritel & Produk Konsumen),"PT SMART,Tbk",Padang,8 hari yang lalu,,Responsible for achieving the monthly target. Customer data master accuracy. Active Outlet. Proximity relationship with the customer,,,,
Marketing Alpha Program,(Pemasaran & Komunikasi),PT Wismilak Inti Makmur Tbk,Surabaya,18 hari yang lalu,,M- Alpha is a program development by Wismiliak Group. This program is designed to prepare future leaders in marketing.,,,,
Executive Assistant,(Administrasi & Dukungan Perkantoran),,Tangerang,4 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month,ensuring the smooth and efficient operation of the OWNER's professional and personal life. Arrange all domestic and international travel,15000000.0,20000000.0,month,IDR
STAFF HALAL,"(Manufaktur, Transportasi & Logistik)",PT Pandurasa Kharisma,Jakarta Raya,6 hari yang lalu,,"A dedicated and detail-oriented Halal Staff member responsible for ensuring all products, services, and processes comply with regulation.",,,,
Infrastructure Assistant (Kalimantan Timur),(Teknik),,Kalimantan Timur,15 hari yang lalu,,"Job Descriptions: Monitor and supervise Infrastructure project activities on site, and ensure that the projects can becompleted within the agreed...",,,,
Marketing Specialist,(Pemasaran & Komunikasi),PT Karang Mas Sejahtera,Jakarta Raya,25 hari yang lalu,,MidPlaza Holding is looking for a Marketing Specialist.,,,,
Data Scientist,(Sains & Teknologi),"PT SMART,Tbk",Jakarta Raya,4 hari yang lalu,,The role will be responsible in implementing and be involved in end to end project implementation related to digital solution and data analytics.,,,,
Teachers Needed for Academic Year 2025/2026,(Pendidikan & Pelatihan),Jakarta Academics,Denpasar,28 hari yang lalu,,Responsibilities Plan and prepare effective lesson plans using advanced techniques that are relevant to a 21st-century education.,,,,
Internal Audit,(Akuntansi),PT Moladin Finance Indonesia,Kediri,21 hari yang lalu,,Conduct independent & continuous monitoring as the first line of internal audit assurance at the branch-level & relevant regulatory requirements.,,,,
Social Media Specialist,(Pemasaran & Komunikasi),PT Mitra Belanja Anda,Jakarta Raya,12 hari yang lalu,,"Develop and impelement comprehensive social media strategies aligned with the company's goals, target audience, and brand positioning",,,,
"Sales Supervisor Depo (Manado, Cirebon)",(Ritel & Produk Konsumen),PT Sukanda Djaya,Manado,15 hari yang lalu,,Open depo or new customers outlet for ice cream sales,,,,
Executive Assistant,(Administrasi & Dukungan Perkantoran),PT Bigi Multi Internasional,Jakarta Barat,6 hari yang lalu,"Rp 6,500,000 – Rp 8,000,000 per month",PT Bigi Multi Internasional ada perusahaan distributor Security System.,6500000.0,8000000.0,month,IDR
IT Staff Manufacture - Cikarang - WFO (ID: 681157),(Teknologi Informasi & Komunikasi),PT. PERSOLKELLY Recruitment Indonesia,Cikarang,26 hari yang lalu,Rp 6.500.000 – Rp 7.500.000 per month,Hiring for IT Staff in manufacture,6500000.0,7500000.0,month,IDR
Mechanical Section Head (Tarjun),(Teknik),"PT SMART,Tbk",Kalimantan Selatan,7 hari yang lalu,,Job Descriptions : Arrange and assign daily maintenance work to subordinates from notifications and work orders Make a preventive maintenance...,,,,
Marketing Communication (Sunter),(Pemasaran & Komunikasi),PT Showty Global International,Jakarta Utara,11 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,"Responsible to support in planning, development, coordination of KOL and Influencer",5500000.0,7000000.0,month,IDR
Building Manager,(Real Estat & Properti),,Jakarta Utara,15 hari yang lalu,,"Building Manager : 
Bertanggung jawab dalam mengelola dan mengkoordinasi berbagai kegiatan operasional yang ada di perusahaan.",,,,
Content Creator & Brand Collaborator,(Pemasaran & Komunikasi),PT Matahari Alka Indonesia,Jakarta Selatan,13 hari yang lalu,,"Develop captivating content, drive brand engagement, and grow with a leading consumer goods company in Jakarta.",,,,
Area Sales Manager (Surabaya),(Penjualan),Dexa Group,Surabaya,5 hari yang lalu,,"Oversees sales teams, promotes pharmaceutical products, ensures compliance with regulations, and drives market growth.",,,,
Sales Admin Staff Manufacture - Cikarang - WFO (ID: 681357),(Administrasi & Dukungan Perkantoran),PT. PERSOLKELLY Recruitment Indonesia,Cikarang Pusat,22 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month,"PERSOKELLY Indonesia is currently assisting client in Trading looking for Sales Admin, with the following requirements and area",5000000.0,6000000.0,month,IDR
Designer Staff Manufacture - Karawang - WFO (ID: 680897),(Desain & Arsitektur),PT. PERSOLKELLY Recruitment Indonesia,Cikarang,27 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month,Designer (Steel design) Staff,6000000.0,7000000.0,month,IDR
Tax Staff,(Akuntansi),PT YOFC International Indonesia,Jakarta Barat,29 hari yang lalu,,"Assist the manager in completing the daily tax declaration for two factories and one trading company in Indonesia,",,,,
Garage & Heavy Equipment Maintenance Officer,(Teknik),PT Royal Lestari Utama (Michelin Group),Jambi,20 hari yang lalu,,"Ensuring control monitoring of the Maintenance Repair of HE, Trucks, & Light Vehicle according to the principles system of Michelin Manufacturing Way",,,,
Procurement Import Manager,"(Manufaktur, Transportasi & Logistik)",PT Indosps Bogatama Sukses,Jakarta Barat,5 hari yang lalu,Rp 13.000.000 – Rp 16.000.000 per month,"Good Benefit, good work environment",13000000.0,16000000.0,month,IDR
Fit Out / Production Supervisor (Booth and Electricity),(Konstruksi),SKINTIFIC,Jakarta Selatan,28 hari yang lalu,,"As a Fit Out Supervisor, you will work closely with the Fit Out Manager, marketing team, and external vendors.",,,,
Store Manager - Palangkaraya,(Ritel & Produk Konsumen),PT Central Mega Kencana,Palangkaraya,21 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month,"You will ensure that the team delivers excellent customer service, achieves sales targets, and upholds brand standards.",8000000.0,12000000.0,month,IDR
Security & Parking Supervisor – Menara Jakarta,(Hospitaliti & Pariwisata),ASRI (a subsidiary of Agung Sedayu Group),Jakarta Raya,30+ hari yang lalu,,"Experience in implementing operational processes such as Security and Parking
Proficient understanding in operational procedures and...",,,,
GENERAL MANAGER,(CEO & Manajemen Umum),PT Fitness First Indonesia,Jakarta Raya,19 hari yang lalu,,"Role Overview : Each Club General Manager has four direct reports; namely in membership sales, club operational, fitness management and group...",,,,
Area Sales Promotion Supervisor (Jambi) - PT Agel Langgeng,(Penjualan),PT Kapal Api Global,Jambi,20 hari yang lalu,,Increase and achieve the sales target in the area,,,,
Business Development Manager,(Penjualan),PT LX International Indonesia,Jakarta Selatan,6 hari yang lalu,,"WFO 100%, SCBD, South Jakarta area",,,,
